text_nonstop,text_lemma,text,length_text_nonstop,length_text_lemma,length_text,label,count_word_text_nonstop,count_word_text_lemma,count_word_text
u r so right ir buscar argumentos autoridade nao torna veridico discurso,u r so right ir buscar argumento autoridade nao tornar veridico discurso,nomeusuario u r so right nomeusuario ir buscar argumentos de autoridade nao torna mais veridico o seu discurso,72,72,110,0,17,17,17
chilenos fugiram caxias capturados madrid assim tempo liberdade porto primeiro lugar,chileno fugir caxia capturar madrid assim tempo liberdade porto primeiro lugar,chilenos que fugiram de caxias foram capturados em madrid mesmo assim estiveram mais tempo em liberdade do que o porto em primeiro lugar,84,78,136,1,20,20,22
chirs cuomo entrevista sen blumenthal nunca perguntou sobre farsa corajoso servico vi,chir cuomo entrevista sen blumenthal nunca perguntar sobre farsa corajoso servico ver,chirs cuomo em sua entrevista com o sen blumenthal nunca perguntou sobre a farsa do corajoso servico dele no vi paginaweb,85,85,121,0,20,20,22
toda sociedade so ganhar,todo sociedade so ganhar,nomeusuario toda a sociedade so tem a ganhar com isso,24,24,53,0,13,13,15
chorao fracassado precisava auto afirmacao vive mundo irreal fama so causa tv > drogas matam,chorao fracassar precisar auto afirmacao viver mundo irreal fama so causa tv > droga matar,chorao fracassado precisava de auto afirmacao vive no mundo irreal fama so por causa da tv > drogas matam o paginaweb,92,90,117,1,20,20,22
chorou banho,chorar banho,chorou no banho paginaweb,12,12,25,0,9,8,14
chupa nazistinha vai dai,chupar nazistinho ir dai,chupa nazistinha vai dai nomeusuario paginaweb,24,24,46,1,13,14,20
burra pq nao concordo vcs pensei q mulher livre ah ea liberdade acaba discordam d vcs,burrar pq nao concordo vcs pensar q mulher livre ah ea liberdade acabar discordar d vcs,nomeusuario nomeusuario nomeusuario burra pq nao concordo com vcs pensei q a mulher fosse livre ah ea liberdade acaba quando discordam d vcs,85,87,140,0,18,18,19
cientista russo diz mundo vai acabar dia 16 fevereiro sabem cavaco lanca novo livro nao ha coincidencias,cientista russo dizer mundo ir acabar dia 16 fevereiro saber cavaco lanca novo livro nao ha coincidencio,cientista russo diz que o mundo vai acabar dia 16 de fevereiro sabem quando e que o cavaco lanca o novo livro nao ha coincidencias,104,104,130,0,21,21,22
cimbb apresenta guia beira baixa terras excelencia,cimbb apresentar guia beira baixar terro excelencia,cimbb apresenta guia beira baixa terras de excelencia paginaweb,50,51,63,0,16,17,18
cinema itinerante rio branco departamento cerro largo brasil uruguay ano 2010,cinema itinerante rio branco departamento cerro largo brasil uruguay ano 2010,cinema itinerante em rio branco departamento de cerro largo brasil uruguay ano 2010 paginaweb,77,77,93,0,21,21,22
cinquenta tons escuros nao empoderador abuso post recente blog > leia,cinquenta tom escuro nao empoderador abuso post recente blog > ler,cinquenta tons mais escuros nao e empoderador e abuso post recente do nosso blog > leia em paginaweb,69,66,100,0,19,19,20
corte europeia ddhh decidir estados europeus nao sao obrigados dar visto humanitario refugiados,corte europeu ddhh decidir estado europeu nao sao obrigar dar ver humanitario refugiado,nomeusuario isso depois de a corte europeia de ddhh decidir que estados europeus nao sao obrigados a dar visto humanitario a refugiados,95,87,135,0,19,19,20
claramente karen jesuino nunca namorou vida,claramente karen jesuino nunca namorar vida,claramente karen jesuino nunca namorou na vida paginaweb,43,43,56,0,17,17,21
gorda msm naomas feia,gordar msm naoma feio,nomeusuario nomeusuario de gorda tem msm naomas feia,21,21,52,1,12,12,14
claro alienacao melhor caminho pra voce continue nessa bolha,claro alienacao melhor caminho pra voce continuar em esse bolha,claro a alienacao e o melhor caminho pra voce continue nessa bolha paginaweb,60,63,76,0,17,17,19
claro esperar mente fraca acredita professor historia q usa camisa cheghevara 42 an,claro esperar mente fraco acreditar professor historir q usar camisa cheghevarar 42 an,claro esperar o que de quem tem mente fraca e acredita em professor de historia q usa camisa cheghevara tem 42 an paginaweb,83,86,123,1,22,22,24
claro nao deixariam passar branco direito pulinho pa amigas,claro nao deixar passar branco direito pulinho pa amiga,claro que elas nao deixariam passar em branco e com direito a um pulinho no pa amigas paginaweb,59,55,95,0,19,19,21
claro nao medo trumpkkkk,claro nao medo trumpkkkk,claro que nao eles tem medo do trumpkkkk paginaweb,24,24,50,1,14,14,20
claro sim so vc nao babaca nerds valentao rede mulher imbecil hipster freak viciado celebridades,claro sim so vc nao babacar nerd valentao rede mulher imbecil hipster freak viciar celebridade,claro que sim e so vc nao ser um babaca nerds um valentao da rede uma mulher imbecil um hipster freak ou viciado em celebridades,96,94,128,1,20,20,21
claro vc pode ir pro bm junior sarra 9nha ein filhao maria ta achando vai aonde sair 7h quer estuprada rua,claro vc poder ir pro bm junior sarrar 9r ein filhao mario ta achar ir aonde sair 7h quer estuprar rua,claro que vc pode ir pro bm junior sarra as 9nha ein filhao maria ta achando que vai aonde sair depois da 7h quer ser estuprada na rua,106,102,134,1,23,23,23
obama grampeou ate dilma vc ta chamando trump louco,obama grampear ate dilma vc ta chamar trump louco,nomeusuario nomeusuario o obama grampeou ate a dilma e vc ta chamando o trump de louco,51,49,86,0,18,17,19
nao sabia agora pesquisando vi teto tao recebendo refugiados islamicos povo nao ta percebendo,nao saber agora pesquisando ver teto tao receber refugiado islamico povo nao ta perceber,nomeusuario nomeusuario eu nao sabia agora pesquisando que vi os sem teto tao recebendo refugiados islamicos e o povo nao ta percebendo,93,88,135,1,20,20,20
fotos brancos refugiados nao dao likes fb nao fazem carneirada derramar muitas lagrimas crocodilo nao ha interesse neles,foto branco refugiar nao dao likes fb nao fazer carneirada derramar muito lagrima crocodilo nao ha interesse em ele,nomeusuario fotos de brancos refugiados nao dao likes no fb nao fazem a carneirada derramar muitas lagrimas de crocodilo nao ha interesse neles,120,115,143,1,20,20,20
cobrar politico ta fazendo mau uso dinheiro publico dever qualquer cidadao,cobrar politico ta fazer mau uso dinheiro publico dever qualquer cidadao,cobrar quando um politico ta fazendo mau uso do dinheiro publico e um dever de qualquer cidadao,74,72,95,1,21,21,21
foda to ai gorda feia idiota,foda to ai gordar feio idiota,nomeusuario foda se ela to nem ai gorda feia idiota,28,29,51,1,10,10,15
coisa enrustido homem homem aprecia gosto natural rata joaquinresponde,coisa enruster homem homem aprecia gosto natural rata joaquinresponde,coisa de enrustido homem que e homem aprecia o gosto natural da rata joaquinresponde paginaweb,70,69,94,1,19,19,21
gtda fucada la primeiro livro amiga reviso,gtdar fucada la primeiro livro amigar reviso,nomeusuario gtda uma fucada la primeiro livro da minha amiga nomeusuario paginaweb eu reviso,42,44,92,0,17,17,21
vim parar nessa cidade p forca circunstancias aprendi m virar sozinha nao mudo postura so p t agradar,vir parar em esse cidade p forca circunstancio aprender m virar sozinha nao mudo postura so p t agradar,nomeusuario vim parar nessa cidade p forca das circunstancias aprendi a m virar sozinha e nao mudo minha postura so p t agradar,101,103,127,0,19,19,19
coisas ler dia mulher excluido pq nao paciencia pra pessoa tao burra,coisa ler dia mulher excluer pq nao paciencia pra pessoa tao burro,coisas que eu tenho que ler no dia da mulher excluido pq nao tenho paciencia pra uma pessoa tao burra paginaweb,68,66,111,1,19,19,21
coisas odeio esquerdista iphone hipocrisia falso moralismo,coisa odeio esquerdista iphone hipocrisia falso moralismo,coisas que odeio esquerdista de iphone hipocrisia falso moralismo paginaweb,58,57,75,1,18,18,21
coitado desse povo servindo tapete lideres movimento boulos anda carro dinheiro,coitar de esse povo servir tapete lider movimento boulo andar carro dinheiro,coitado desse povo servindo como tapete dos lideres do movimento o boulos anda de carro e tem muito dinheiro paginaweb,79,76,118,0,18,18,20
coitado nirvana,coitado nirvana,coitado do nirvana,15,15,18,0,10,10,10
coitado aposentados vao financiar bosta bolsa familia,coitado aposentado vao financiar bosta bolso familio,coitado dos aposentados que vao financiar a bosta do bolsa familia paginaweb,53,52,76,0,17,17,21
coitado ne gente ninguem liga pra americanos classe media alta precisam atencao,coitar ne gente ninguir ligo pra americano classe media alto precisar atencao,coitado ne gente ninguem liga pra ele os americanos de classe media alta precisam de atencao,79,77,92,0,16,16,16
colocaram vinho branco pra gelar sera comemoracoes hoje,colocar vinho branco pra gelar sera comemoracoes hoje,colocaram um vinho branco pra gelar sera que teremos comemoracoes hoje,55,53,70,0,17,17,20
familia taisho taisho restaurante japones,familiar taisho taisho restaurante japone,com a familia no taisho taisho restaurante japones paginaweb,41,41,60,0,16,16,20
comandante alerta p perigo tirarem fotos videos junto mar sic pede telespetadores p tirarem fotos,comandante alertar p perigo tirar foto video junto mar sic pedir telespetador p tirar foto,comandante alerta p o perigo de se tirarem fotos e videos junto ao mar sic pede a telespetadores p tirarem fotos e paginaweb,97,90,124,0,19,19,21
certeza neste especial ocorreram muitos acidentes mortes prostituicao relacionamentos rompidos,certeza em este especial ocorrer muito acidente morte prostituicao relacionamento rompido,com certeza e neste em especial ocorreram muitos acidentes mortes prostituicao relacionamentos rompidos paginaweb,94,89,113,0,16,16,19
come alguma coisa antes comecares briga namorada assim oferecer comida nao vais perder foco,comer algum coisa antes comecar briga namorar assim oferecer comido nao vais perder foco,come alguma coisa antes de comecares uma briga com a tua namorada assim quando ela te oferecer comida nao vais perder o foco,91,88,124,0,19,19,20
comeca felizmente desenharse bloco aliancas contra podridao globazidoramundialista,comeca felizmente desenharser bloco alianca contra podridao globazidoramundialista,comeca felizmente a desenharse um bloco de aliancas contra a podridao globazidoramundialista nomeusuario paginaweb,82,82,114,0,20,20,21
comeca namorado,comeca namorado,comeca pelo seu namorado nomeusuario paginaweb,15,15,46,0,9,9,17
comece voce maconheiro,começar voce maconheiro,comece por voce mesmo maconheiro nomeusuario paginaweb,22,23,54,0,11,12,17
comece apoio cinema rejeitou belaeafera compartilhando deixando repudio,começar apoio cinema rejeitar belaeafero compartilhar deixar repudio,comece seu apoio a este cinema que rejeitou belaeafera compartilhando e deixando seu repudio e paginaweb,71,68,104,1,19,20,23
comecou gente assista aqui >>>,comecar gente assistar aqui > > >,comecou gente assista por aqui >>> paginaweb,30,33,44,0,14,15,18
serve nacao defesa valores,servir nacao defesa valor,nomeusuario nomeusuario nomeusuario serve a sua nacao e a defesa de seus valores paginaweb,26,25,90,0,12,13,19
comentei perfil ironico resposta chamada feia gorda mal amada feminazi fascita golpista bu,comentar perfil ironico resposta chamar feio gordar mal amar feminazi fascita golpista bu,comentei num perfil ironico como resposta fui chamada de feia gorda mal amada feminazi fascita golpista bu paginaweb,90,89,116,1,20,20,21
comentou ata ja sei feminista muxibenta ahh vao lavar louca mal amadas,comentar ata ja saber feminista muxibenta ahh vao lavar louco mal amado,comentou com ata ja sei que e feminista muxibenta ahh vao lavar a louca suas mal amadas,70,71,87,1,20,20,21
frase encerro assunto nordeste dando sede vou ali beber agua mineral,frase encerro assunto nordeste dar sede ir ali beber agua mineral,com essa frase que eu encerro o assunto do nordeste esta me dando sede vou ali beber uma agua mineral,68,65,101,0,18,17,19
anuncio oficialmente aberto casting 4o membro overdose tourette,anuncio oficialmente abrir casting 4o membro overdose tourette,com este anuncio do nomeusuario esta oficialmente aberto o casting para 4o membro do overdose de tourette paginaweb,63,62,115,0,19,19,21
hamburger feito vaquinhas cheddar cerveja ficam delicia,hamburger fazer vaquinha cheddar cerveja ficar delicia,com hamburger feito das vaquinhas cheddar e cerveja ficam uma delicia paginaweb,55,54,79,0,21,19,23
h maiusculo nao twitter entao voce ja sabe deve ter criado perfil,h maiusculo nao twitter entao voce ja saber dever ter criar perfil,com h maiusculo nao tem twitter entao voce ja sabe quem deve ter criado esse perfil,65,66,83,0,21,21,22
comigo camara lisboa emel bloqueada,comigo camar lisboa emel bloquear,comigo na camara de lisboa a emel e que seria bloqueada nomeusuario nomeusuario nomeusuario paginaweb,35,33,101,0,15,14,18
comigo impensavel islao aqui nao identidade portugal portugueses primeir,comigo impensavel islao aqui nao identidade portugal português primeir,comigo na nomeusuario isto seria impensavel islao aqui nao pela identidade portugal e os portugueses primeir paginaweb,72,70,118,1,18,19,20
maridao praia leste semana vem comeca maratona,maridao praia leste semana vir comeca maratona,com maridao nomeusuario na praia de leste semana que vem comeca nossa maratona de paginaweb,46,46,91,0,15,15,20
marido jofran alves passeando feirinhadolargodaordem apropriei cultura,marido jofranr alves passear feirinhadolargodaorder apropriei cultura,com marido jofran alves passeando na feirinhadolargodaordem me apropriei da cultura paginaweb,70,69,93,0,20,20,22
pai whashington lobo francoamoooo,pai whashington lobar francoamoooo,com meu pai whashington lobo francoamoooo paginaweb,33,34,51,0,17,17,19
miguel relvas conselho leonino sporting titulos estao garantidos necessario pede umas equivalencias lusofona,miguel relva conselho leonino sporting titulo estao garantido necessario pedir um equivalencia lusofonar,com miguel relvas no conselho leonino do sporting os titulos estao garantidos e se necessario for pede umas equivalencias na lusofona,108,104,133,0,20,20,20
amor,amor,com muito amor paginaweb,4,4,24,0,4,4,15
orgulho eleito reimomo bloco porao dops amigo decorem marchinhas,orgulho eleger reimomo bloco porao dop amigo decor marchinha,com muito orgulho fui eleito o reimomo do bloco porao do dops do meu amigo nomeusuario decorem as marchinhas paginaweb,64,60,118,0,18,16,20
amigas verdade tratam,amiga verdade tratar,como amigas de verdade se tratam paginaweb,21,20,42,0,11,10,17
assim agora golpista serve pra algo,assim agora golpista servir pra algo,como assim agora a nomeusuario golpista serve pra algo nomeusuario paginaweb,35,36,76,0,13,13,18
assim angola nao europa xd,assim angol nao europa xd,como assim angola nao e na europa xd paginaweb,26,25,46,0,15,15,18
assim racista escuto eminem flor,assim racista escuto eminem flor,como assim eu sou racista eu escuto eminem flor,32,32,47,1,14,14,14
assim existe conta chama fufas porto,assim existir conta chamar fufa porto,como assim existe uma conta que se chama fufas do porto,36,37,55,0,16,16,18
diria apostolo alexandre bemaventurados nao tendo dinheiro amigos livrarem usura credito bancario,dizer apostolo alexandre bemaventurar nao ter dinheiro amigo livrar usura credito bancario,como diria o apostolo alexandre bemaventurados aqueles que nao tendo dinheiro tem amigos para os livrarem da usura do credito bancario,97,90,134,0,20,21,21
diz ditado vira homem,dizer ditar vira homem,como diz o ditado vira homem,21,22,28,1,12,12,13
bom achar dinheiro bolso otros,bom achar dinheiro bolso otro,como e bom achar dinheiro no bolso dos otros,30,29,44,1,15,15,15
marcelo deixou passar oportunidade unica convidar dar mergulho praia costa nova sad,marcelo deixar passar oportunidade unico convidar dar mergulho praia costa novo sad,como e que o marcelo deixou passar esta oportunidade unica para convidar o nomeusuario a dar um mergulho na praia da costa nova sad,83,83,131,0,19,19,20
triste aqui ibcc nao poder ver figura humana jaleco branco sorriso meigo,triste aqui ibcc nao poder ver figura humano jaleco branco sorriso meigo,como e triste estar aqui no ibcc e nao poder mais ver aquela figura humana de jaleco branco com sorriso meigo paginaweb,72,72,119,0,22,22,23
pnr coimbra encanto pnr autarquicas2017,pnr coimbro encanto pnr autarquicas2017,com o pnr coimbra tem mais encanto nomeusuario paginaweb pnr autarquicas2017 paginaweb,39,39,86,0,19,19,21
posso ajudar pnr apoio pnr renovarportugal,poder ajudar pnr apoio pnr renovarportugal,como posso ajudar o pnr paginaweb apoio pnr renovarportugal,42,42,59,0,16,15,20
meninas consegue ir pra escola toda bonitinha vou igual sapatao ainda sono,menina conseguir ir pra escola todo bonitinha ir igual sapatao ainda sono,como que essas meninas consegue ir pra escola toda bonitinha eu vou igual um sapatao ainda mais quando estou com sono,74,73,117,1,19,18,20
resolver situacao brasil investigar presidente camara investigar helicoptero cocaina x dilma,resolver situacao brasil investigar presidente camar investigar helicoptero cocaina x dilma,como resolver a situacao do brasil investigar o presidente da camara investigar o helicoptero de cocaina x fora dilma,92,91,117,0,20,20,21
cria cotas algo livre pra qq fazer bateu duvida aqui,criar coto algo livre pra qq fazer bater duvida aqui,como se cria cotas para algo que e livre pra qq um fazer bateu a duvida aqui paginaweb,52,52,86,1,19,18,22
fabrica mentira,fabricar mentira,como se fabrica uma mentira paginaweb,15,16,37,0,11,11,17
russos precisassem novos motivos beber,russo precisar novo motivo beber,como se os russos precisassem de novos motivos para beber paginaweb,38,32,67,0,15,15,18
feminista feia gorda pagar peitinho passeata peluda odiar homens achar q fara diferenca mundo,feminista feio gordar pagar peitinho passeata peludar odiar homem achar q farar diferenca mundar,como ser feminista ser feia e gorda pagar peitinho em passeata ser peluda odiar homens e achar q isso fara diferenca no mundo,93,96,125,1,19,19,19
gorda faz feia cu,gordar fazer feio cu,como se ser gorda te faz ser feia teu cu,17,20,40,1,12,12,15
vai dar certo pico desse,ir dar certo pico de esse,como vai dar certo um pico desse paginaweb,24,25,42,1,12,11,18
vai sabado recheado capitalismo,ir sabar rechear capitalismo,como vai o sabado recheado de capitalismo,31,28,41,0,16,14,16
vc sente roubando dinheiro dum pais nao leito hospital direito canalha,vc sentir roubar dinheiro de um pai nao leito hospital direito canalha,como vc se sente nomeusuario roubando o meu dinheiro dum pais que nao tem leito em hospital direito sua canalha,70,70,111,0,18,18,19
voce pode militar causa sendo voce estuda transgeneros,voce poder militar causa ser voce estudar transgenero,como voce pode militar por uma causa sendo que voce nem estuda nomeusuario transgeneros paginaweb,54,53,97,0,17,17,20
voces sabem apenas 5 homicidios sao elucidados internationalwomensday sermulhere diadamulher,voce saber apenas 5 homicidio sao elucidar internationalwomensday sermulherir diadamulher,como voces sabem se apenas 5 dos homicidios sao elucidados internationalwomensday sermulhere diadamulher paginaweb,92,89,114,0,21,21,22
votei psdc 27 eymael democrata cristao zero citacoes lava jato consciencia tranquila exemplo dignidade,votar psdcr 27 eymael democrata cristao zero citacoes lavar jato consciencia tranquila exemplo dignidade,como votei psdc 27 eymael o democrata cristao zero citacoes na lava jato estou com a consciencia tranquila sou um exemplo de dignidade,102,104,134,0,24,24,24
companheiros desconfiai sempre malta indigna escassez courgettes,companheiro desconfiair sempre malta indigna escassez courgette,companheiros desconfiai sempre de malta que se indigna com a escassez de courgettes,64,63,83,0,19,19,20
compre americano contrate americano sao principios basicos governo empregos empregos empregos,compre americano contrate americano sao principio basico governo emprego emprego emprego,compre americano e contrate americano sao os principios basicos do meu governo que e empregos empregos empregos paginaweb,93,88,121,0,15,15,19
comprei espumante pra agradar patroa afinal hoje dia diadamulher,compr espumante pra agradar patroa afinal hoje dia diadamulher,comprei um espumante pra agradar a patroa afinal hoje e dia dela diadamulher paginaweb,64,62,86,0,19,19,21
quantos centimetros destroi feminista,quanto centimetro destroi feminista,com quantos centimetros se destroi uma feminista,37,35,48,1,15,15,15
refugiados entrassem automaticamente ja nao estaria cumprindo maior dever proteger pais,refugiado entrar automaticamente ja nao estar cumprir grande dever proteger pai,com que os refugiados entrassem automaticamente ele ja nao estaria cumprindo o seu maior dever que e proteger o pais,87,79,116,0,18,18,20
tantos jornalistas volta pinto costa ja cafe leite pode tomar tranquilamente guimaraes,tanto jornalista voltar pinto costa ja cafe leite poder tomar tranquilamente guimaraes,com tantos jornalistas a sua volta pinto da costa ja nem um cafe com leite pode tomar tranquilamente em guimaraes,86,86,113,0,20,20,20
comunicacao social portuguesa contabiliza numero refugiados recebidos portugal deixa,comunicacao social portuguesa contabilizar numero refugiado receber portugal deixar,comunicacao social portuguesa contabiliza o numero de refugiados recebidos portugal e deixa paginaweb,84,83,101,0,20,20,21
comunista hipocrisia sao sinonimos,comunista hipocrisia sao sinonir,comunista e hipocrisia sao sinonimos paginaweb,34,32,46,1,13,13,17
comunista odeia pm fala mal capitalismo segurando iphone celular roubado vai parar dp pm vai entender,comunista odeia pm falar mal capitalismo segurar iphone celular roubar ir parar dp pm ir entender,comunista que odeia a pm fala mal do capitalismo segurando um iphone quando o celular e roubado vai parar na dp da pm vai entender,101,97,130,1,20,19,21
concordo genero numero grau,concordo genero numero grau,concordo em genero numero e grau paginaweb,27,27,42,0,11,11,15
concurso miss falta respeito mulher propria mulher mulherobjecto futilidade pura,concurso miss faltar respeito mulher proprio mulher mulherobjecto futilidade puro,concurso de miss falta de respeito da mulher pela propria mulher mulherobjecto futilidade pura paginaweb,80,81,104,0,19,19,21
concursos prefeitura visconde rio branco 2017 inscricao,concurso prefeituro visconder rio branco 2017 inscricao,concursos prefeitura de visconde do rio branco 2017 inscricao paginaweb,55,55,71,0,20,20,22
confesso cotovelite nao nao capaz escrever livro saber fizesse nao amigos comprarem,confessar cotovelitar nao nao capaz escrever livro saber fizesse nao amigo comprar,confesso a minha cotovelite nao que nao fosse capaz de escrever um livro mas por saber que se o fizesse nao teria amigos para o comprarem,83,82,137,0,18,18,22
confira contribuicao integrantes blog marca insecta shoes sera realmente,confirar contribuicao integrante blog marca insecta shoes serar realmente,confira a contribuicao de uma de nossas integrantes para o blog da marca insecta shoes sera que realmente somos paginaweb,72,73,121,0,17,17,21
confira entrevista artista negra brasileira priscila rezende site laplisitol site construido,confirar entrevista artista negro brasileiro priscilar rezender site laplisitol site construir,confira entrevista da artista negra brasileira priscila rezende ao site laplisitol um site construido por paginaweb,92,94,115,0,19,19,21
confirmado 100 falei sapatao,confirmar 100 falar sapatao,confirmado 100 que aquela que eu falei e sapatao,28,27,48,1,17,15,19
confissoes hora banho toma pressa curte agua nao limpa umbigo soca bronha melhor parte,confissoes hora banho tomar pressa curte agua nao limpa umbigo socar bronho bom parte,confissoes de um nomeusuario na hora do banho toma sem pressa curte a agua nao limpa o umbigo e soca uma bronha melhor parte,86,85,124,0,18,18,19
congratulome reducao tsu nao gosto toma medidas quais concordo manifesto agrado,congratulome reducao tsu nao gosto tomar medida qual concordo manifesto agrar,congratulome com a reducao da tsu nao gosto do nomeusuario mas se toma medidas com as quais concordo manifesto o meu agrado nomeusuario,79,77,135,0,17,17,17
conhecem algum bandido neste pais ainda nao escrito livro ainda nao sido condecorado,conhecer algum bander em este pai ainda nao escrito livro ainda nao ser condecorar,conhecem algum bandido neste pais que ainda nao tenha escrito um livro ou que ainda nao tenha sido condecorado,84,82,110,0,19,19,20
conhece tres cores azul vermelho amarelo,conhecer tr cor azul vermelho amarelo,conhece tres cores azul vermelho e amarelo,40,37,42,0,15,14,15
conheco bem mark cuban apoiou nao quis atender todas ligacoes nao tao bom pra,conhecor bem mark cuban apoiar nao querer atender todo ligacoes nao tao bom pra,conheco bem mark cuban ele me apoiou muito mas nao quis atender todas as ligacoes dele ele nao e tao bom pra se paginaweb,77,79,121,0,20,20,21
consegui cortar dedo faca serrinha mulher burra mundo,conseguir cortar dedo facar serrinho mulher burrar mundo,consegui cortar meu dedo com uma faca de serrinha seria eu a mulher mais burra do mundo,53,56,87,0,18,18,18
conselho mulher sabia constroi mulher burra destroi,conselho mulher saber constroi mulher burra destroi,conselho mulher sabia constroi mulher burra destroi,51,51,51,1,16,16,16
conservadores sao melhores,conservador sao bom,conservadores sao os melhores paginaweb,26,19,39,0,13,12,18
constroem obstaculos dentro casas vez expulsarem serpente islamica vergonha,constroem obstaculo dentro casa vez expulsar serpente islamico vergonha,constroem obstaculos dentro das nossas casas em vez de expulsarem a serpente islamica vergonha paginaweb,75,71,104,1,21,21,22
contra fatos nao ha argumentos,contra fato nao ha argumento,contra fatos nao ha argumentos paginaweb,30,28,40,1,14,13,18
contra fatos nao ha argumentos,contra fato nao ha argumento,contra fatos nao ha argumentos paginaweb,30,28,40,0,14,13,18
contra todos ataques nacao identidade familia so nacionalismo solucao ventos sao mudanca,contra todo ataque nacao identidade familia so nacionalismo solucao vento sao mudanca,contra todos os ataques a nacao a identidade e a familia so o nacionalismo e solucao os ventos sao de mudanca paginaweb,88,85,119,0,17,17,21
nao gente ai tb nao,nao gente ai tb nao,nomeusuario nomeusuario nomeusuario nao gente ai tb nao,19,19,55,0,9,9,13
conversarei xerifes chefes policia 900 am 1300 br hoje discutirei sobre terrivel perigosa,conversarar xerifes chefe policia 900 am 1300 br hoje discutirei sobre terrivel perigoso,conversarei com os xerifes e chefes de policia as 900 am 1300 br hoje e discutirei sobre a terrivel perigosa paginaweb,89,88,118,0,26,26,27
convidado manha renascenca portugal distinguese porque nao vai ter campos refugiados,convidar manha renascenca portugal distingueser porque nao ir ter campo refugiar,convidado da manha na renascenca portugal distinguese porque nao tem nem vai ter campos de refugiados paginaweb,84,80,111,0,20,20,22
convida nui sampa vamos p baladinha sampa lucas,conver nui sampa ir p baladinha sampa luco,convida nui de sampa rt nomeusuario vamos p uma baladinha em sampa nomeusuario nomeusuario nomeusuario nomeusuario e lucas,47,42,122,0,15,17,18
conviva branco outras novas pessoas bem divertidas pertinho voce entrar badoo,convivo branco outro novo pessoa bem divertido pertinho voce entrar badoo,conviva com branco e outras novas pessoas bem divertidas pertinho de voce quando entrar no badoo paginaweb,77,73,106,0,17,17,20
cota racismo todos iguais,cotar racismo todo igual,cota e racismo somos todos iguais,25,24,33,1,12,13,13
99 afegaos apoiam sharia linda realmente receba casa vai estudar,99 afegao apoiar shario linda realmente recebo casa ir estudar,nomeusuario 99 dos afegaos apoiam a sharia paginaweb linda realmente receba eles na sua casa vai estudar,64,62,104,1,21,20,22
covardes busca censura maiores paginas humor direita br somostodoseditorahumanas,covarde busca censura grande pagina humor direita br somostodoseditorahumana,covardes em busca da censura numa das maiores paginas de humor da direita br somostodoseditorahumanas,80,76,101,1,18,18,18
crepusculo vira lobo vira vampiro ninguem vira homem,crepusculo vira lobo vira vampiro ninguir vira homem,crepusculo um vira lobo um vira vampiro ninguem vira homem,52,52,58,1,17,17,17
criancas acreditem sempre vossos sonhos suicide squad ganhou oscar tudo possivel oscars,crianco acreditar sempre vossos sonho suicidir squad ganhar oscar tudo possivel oscar,criancas acreditem sempre nos vossos sonhos se o suicide squad ganhou um oscar tudo e possivel oscars,87,85,101,1,19,19,19
criando geracao homens feministos,criar geracao homem feministo,criando uma geracao de homens feministos nomeusuario nomeusuario nomeusuario paginaweb,33,29,86,0,15,14,19
cristaos maltratam gays mimimi,cristao maltratar gay mimimi,cristaos maltratam gays e mimimi nomeusuario nomeusuario nomeusuario nomeusuario nomeusuario nomeusuario paginaweb,30,28,114,0,12,12,18
cristas pediu reuniao p fazer queixinhas marcelo convidou logo ferro p almocar vinganca vichyssoise servese fria,crista pedir reuniao p fazer queixinhas marcelo convidar logo ferro p almocar vinganco vichyssoise servese fria,cristas pediu reuniao p fazer queixinhas a marcelo e este convidou logo o ferro p almocar a vinganca e como a vichyssoise servese fria,112,111,134,1,23,23,23
cristas visitou escola publica sentiuse chocada c estado degradacao colegios colados pele devia ter ficado amarela d vergonha,crista visitar escola publica sentiuse chocar c estado degradacaor colegio colar pele dever ter ficar amarela d vergonha,cristas visitou escola publica e sentiuse chocada c estado degradacao com os colegios colados a pele devia ter ficado amarela d vergonha,125,120,136,0,20,20,20
critica livros islao fundamentalismo islamico,criticar livro islao fundamentalismo islamico,critica de livros islao e fundamentalismo islamico paginaweb,45,45,60,0,16,16,20
sapatao linda mt maneira,sapatao linda mt maneira,nomeusuario sapatao linda mt maneira,24,24,36,1,13,13,14
chamam cristaos ignorantes ta universidade acha normale porque sofreu lavagem cerebral,chamar cristao ignorante ta universidade achar normale porque sofrer lavagem cerebral,nomeusuario nomeusuario chamam os cristaos de ignorantes mas quem ta na universidade e acha isso normale porque sofreu lavagem cerebral,86,85,135,1,21,21,21
2 prestar atencao nao pornografia contexto beijo posto dificilmente,2 prestar atencao nao pornografia contexto beijo pôr dificilmente,nomeusuario nomeusuario 2 se prestar atencao isso nao e pornografia o contexto em que esse beijo foi posto dificilmente tem,67,65,123,0,20,21,22
hahahahahahaha nao parece,hahahahahahaha nao parecer,nomeusuario hahahahahahaha e nao e que parece,25,26,45,0,9,9,14
cuidado burra falando mal feminismo atual gente mulher ignorante assim uo cada coisa ne non,cuidado burrar falar mal feminismo atual gente mulher ignorante assim uo cada coisa ne non,cuidado com a burra falando mal do feminismo atual mas gente mulher ignorante assim e uo e cada coisa ne non,91,90,108,1,18,18,18
culpa capitalismo opressor trump by esquerdista,culpar capitalismo opressor trump by esquerdista,culpa do capitalismo opressor e do trump by esquerdista paginaweb,47,48,65,0,17,17,20
